,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class_versicolor,class_virginica
90,5.5,2.6,4.4,1.2,True,False
91,6.1,3.0,4.6,1.4,True,False
92,5.8,2.6,4.0,1.2,True,False
93,5.0,2.3,3.3,1.0,True,False
94,5.6,2.7,4.2,1.3,True,False
95,5.7,3.0,4.2,1.2,True,False
96,5.7,2.9,4.2,1.3,True,False
97,6.2,2.9,4.3,1.3,True,False
98,5.1,2.5,3.0,1.1,True,False
99,5.7,2.8,4.1,1.3,True,False
100,6.3,3.3,6.0,2.5,False,True
101,5.8,2.7,5.1,1.9,False,True
102,7.1,3.0,5.9,2.1,False,True
103,6.3,2.9,5.6,1.8,False,True
104,6.5,3.0,5.8,2.2,False,True
105,7.6,3.0,6.6,2.1,False,True
106,4.9,2.5,4.5,1.7,False,True
107,7.3,2.9,6.3,1.8,False,True
108,6.7,2.5,5.8,1.8,False,True
109,7.2,3.6,6.1,2.5,False,True
110,6.5,3.2,5.1,2.0,False,True
111,6.4,2.7,5.3,1.9,False,True
112,6.8,3.0,5.5,2.1,False,True
113,5.7,2.5,5.0,2.0,False,True
114,5.8,2.8,5.1,2.4,False,True
115,6.4,3.2,5.3,2.3,False,True
116,6.5,3.0,5.5,1.8,False,True
117,7.7,3.8,6.7,2.2,False,True
118,7.7,2.6,6.9,2.3,False,True
119,6.0,2.2,5.0,1.5,False,True
120,6.9,3.2,5.7,2.3,False,True
121,5.6,2.8,4.9,2.0,False,True
122,5.6,2.8,6.7,2.0,False,True
123,6.3,2.7,4.9,1.8,False,True
124,6.7,3.3,5.7,2.1,False,True
125,7.2,3.2,6.0,1.8,False,True
126,6.2,2.8,4.8,1.8,False,True
127,6.1,3.0,4.9,1.8,False,True
128,6.4,2.8,5.6,2.1,False,True
129,7.2,3.0,5.8,1.6,False,True
130,7.4,2.8,6.1,1.9,False,True
131,7.9,3.8,6.4,2.0,False,True
132,6.4,2.8,5.6,2.2,False,True
133,6.3,2.8,5.1,1.5,False,True
134,6.1,2.6,5.6,1.4,False,True
135,7.7,3.0,6.1,2.3,False,True
136,6.3,3.4,5.6,2.4,False,True
137,6.4,3.1,5.5,1.8,False,True
138,6.0,3.0,4.8,1.8,False,True
139,6.9,3.1,5.4,2.1,False,True
140,6.7,3.1,5.6,2.4,False,True
141,6.9,3.1,5.1,2.3,False,True
142,5.8,2.7,5.1,1.9,False,True
143,6.8,3.2,5.9,2.3,False,True
144,6.7,3.3,5.7,2.5,False,True
145,6.7,3.0,5.2,2.3,False,True
146,6.3,2.5,5.0,2.3,False,True
147,6.5,3.0,5.2,2.0,False,True
148,6.2,3.4,5.4,2.3,False,True
149,5.9,3.0,5.1,1.8,False,True
